ID,Species,Stomach,pH,Activity
HM1,Mouse,Uni,ph5,16.44662392
HM1,Mouse,Uni,ph5.5,44.77555639
HM1,Mouse,Uni,ph6,100
HM1,Mouse,Uni,ph6.5,15.01320257
HM1,Mouse,Uni,ph7,19.31346662
HM1,Mouse,Uni,ph7.5,14.48509996
HM2,Mouse,Uni,ph5,54.31949807
HM2,Mouse,Uni,ph5.5,100
HM2,Mouse,Uni,ph6,49.13127413
HM2,Mouse,Uni,ph6.5,43.46042471
HM2,Mouse,Uni,ph7,16.84362934
HM2,Mouse,Uni,ph7.5,14.91312741
HM3,Mouse,Uni,ph5,38.11483441
HM3,Mouse,Uni,ph5.5,57.96590241
HM3,Mouse,Uni,ph6,100
HM3,Mouse,Uni,ph6.5,14.28571429
HM4,Mouse,Uni,ph5,64.02927849
HM4,Mouse,Uni,ph5.5,79.60962008
HM4,Mouse,Uni,ph6,100
HM4,Mouse,Uni,ph6.5,18.82188916
HM5,Mouse,Uni,ph5,72.00123343
HM5,Mouse,Uni,ph5.5,100
HM5,Mouse,Uni,ph6,79.71014493
HM5,Mouse,Uni,ph6.5,34.11964231
HM5,Mouse,Uni,ph7,18.84057971
HM5,Mouse,Uni,ph7.5,18.33179155
HM6,Mouse,Uni,ph5,41.69550173
HM6,Mouse,Uni,ph5.5,44.99711649
HM6,Mouse,Uni,ph6,100
HM6,Mouse,Uni,ph6.5,22.21741638
HM6,Mouse,Uni,ph7,16.03229527
HM6,Mouse,Uni,ph7.5,11.0438293
HM7,Mouse,Uni,ph5,29.12991657
HM7,Mouse,Uni,ph5.5,64.85101311
HM7,Mouse,Uni,ph6,100
HM7,Mouse,Uni,ph6.5,46.35280095
HM7,Mouse,Uni,ph7,33.49225268
HM7,Mouse,Uni,ph7.5,39.69010727
HM8,Mouse,Uni,ph5,57.61637826
HM8,Mouse,Uni,ph5.5,60.80916403
HM8,Mouse,Uni,ph6,100
HM8,Mouse,Uni,ph6.5,21.30148672
HM8,Mouse,Uni,ph7,23.27565196
HM9,Mouse,Uni,ph5,50.38582953
HM9,Mouse,Uni,ph5.5,100
HM9,Mouse,Uni,ph6,83.30410382
HM9,Mouse,Uni,ph6.5,16.80112241
HM10,Mouse,Uni,ph5,32.58594918
HM10,Mouse,Uni,ph5.5,79.77578475
HM10,Mouse,Uni,ph6,100
HM10,Mouse,Uni,ph6.5,58.29596413
WR1,Woodrat,Bi,ph5,24.16
WR1,Woodrat,Bi,ph5.5,100
WR1,Woodrat,Bi,ph6,50.88
WR1,Woodrat,Bi,ph6.5,8
WR1,Woodrat,Bi,ph7,20.08
WR1,Woodrat,Bi,ph7.5,20.64
WR2,Woodrat,Bi,ph5,100
WR2,Woodrat,Bi,ph5.5,87.3467386
WR2,Woodrat,Bi,ph6,63.46248161
WR2,Woodrat,Bi,ph6.5,35.01716528
WR2,Woodrat,Bi,ph7,24.52182442
WR2,Woodrat,Bi,ph7.5,15.74301128
